"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000211896","ENSG00000211896",5.36994753550651,11.7879572239106,92.423031606869,1.30212414258104e-08,5.72647389468912e-06
"ENSG00000211649","ENSG00000211649",3.18874683171341,4.05341812633145,80.4669907289359,1.36700794939273e-08,5.92469169950573e-06
"ENSG00000134057","ENSG00000134057",2.42119092696307,3.90286348971797,72.0464785417893,1.60160960654823e-08,6.84210766564205e-06
"ENSG00000112984","ENSG00000112984",3.49165915536503,2.74094071089832,71.0853143777594,1.64653512270093e-08,6.84210766564205e-06
"ENSG00000165304","ENSG00000165304",3.37773275905014,2.70067586787734,70.1581592080264,1.64732236056254e-08,6.84210766564205e-06
"ENSG00000184357","ENSG00000184357",3.04841537214587,2.70238049861306,68.275096272631,1.67121800112974e-08,6.84627045531298e-06
"ENSG00000115163","ENSG00000115163",3.47225381740955,2.17433707843238,65.6510887331786,1.82391482589381e-08,7.37083417139925e-06
"ENSG00000168496","ENSG00000168496",1.27142783052585,5.21671906336006,62.0801842533909,1.92455360750619e-08,7.67383675099636e-06
"ENSG00000160957","ENSG00000160957",1.60433134319712,3.95949653268507,61.0183715258546,2.07314075965161e-08,8.1575361075502e-06
"ENSG00000211956","ENSG00000211956",3.53388809638071,7.22558230383303,85.3843202738021,2.10528798527352e-08,8.17644638955905e-06
"ENSG00000118193","ENSG00000118193",2.64050243873093,2.20944778230756,60.3690781304522,2.23557592558213e-08,8.57114077622224e-06
"ENSG00000211941","ENSG00000211941",2.95774169168172,5.20784380885079,80.5711125219785,2.40586566487287e-08,8.83876319139262e-06
"ENSG00000165480","ENSG00000165480",3.43399818062932,2.63395321800439,67.6695059915941,2.40801606759573e-08,8.83876319139262e-06
"ENSG00000131747","ENSG00000131747",3.43171577150939,4.87379906068588,81.269977193278,2.41036373176528e-08,8.83876319139262e-06
"ENSG00000211945","ENSG00000211945",3.60598613369569,6.02852700576646,83.8302495939596,2.42360334958768e-08,8.83876319139262e-06
"ENSG00000152253","ENSG00000152253",3.6406119593587,1.92379948442853,62.4180629361667,2.54395647045262e-08,9.16590581311873e-06
"ENSG00000211663","ENSG00000211663",4.27966179103991,7.13622312370126,84.1554024792362,2.65093310685817e-08,9.37314295061357e-06
"ENSG00000138180","ENSG00000138180",3.46022097230282,2.82475111907437,68.573593765849,2.66416034376243e-08,9.37314295061357e-06
"ENSG00000129173","ENSG00000129173",3.04558078185261,1.94175693134398,77.02939733725,2.71755743360012e-08,9.44983198276877e-06
"ENSG00000182578","ENSG00000182578",-1.14715500571606,9.13308276445743,58.8434229979973,2.84952515196894e-08,9.71495722441765e-06
"ENSG00000276043","ENSG00000276043",2.88967077070915,4.20511234004372,73.978762968611,2.85877356879703e-08,9.71495722441765e-06
"ENSG00000169679","ENSG00000169679",3.2241787924295,4.19352922150341,74.2952318734499,3.45285424463247e-08,1.16019782231162e-05
"ENSG00000093009","ENSG00000093009",3.154374938958,3.27414826221075,68.1576937866756,3.5217120550833e-08,1.16545737647665e-05
"ENSG00000134690","ENSG00000134690",1.93312374640442,3.31172587608474,58.6966211190837,3.54645113724713e-08,1.16545737647665e-05
"ENSG00000211592","ENSG00000211592",3.02500526986474,11.4484706055071,76.5246464887738,3.68113575797516e-08,1.1965691830679e-05
"ENSG00000134250","ENSG00000134250",-1.01581795277981,8.10074626321654,56.5553349509125,4.13479134086048e-08,1.31323771145106e-05
"ENSG00000149554","ENSG00000149554",1.7460850956785,2.85938757053776,56.5527621042331,4.13654669747731e-08,1.31323771145106e-05
"ENSG00000077152","ENSG00000077152",1.54735803633972,2.95417715199897,56.466984778617,4.1955299299739e-08,1.31323771145106e-05
"ENSG00000137812","ENSG00000137812",2.08025874398829,3.02962339379552,57.733501700123,4.21571042632677e-08,1.31323771145106e-05
"ENSG00000170312","ENSG00000170312",2.91471735805563,3.48347407072416,66.7652662745494,4.29727449853966e-08,1.32351550350556e-05
"ENSG00000211599","ENSG00000211599",3.06793371187414,2.10772327556296,58.4848964603919,4.33721850337885e-08,1.32351550350556e-05
"ENSG00000139970","ENSG00000139970",-1.66403360500992,6.07442675426844,65.5170917455624,4.47382274972263e-08,1.34349007015666e-05
"ENSG00000156970","ENSG00000156970",2.74301860354501,2.81341868638862,61.4166767672297,4.52032670164921e-08,1.34349007015666e-05
"ENSG00000072571","ENSG00000072571",2.82189595079321,2.41139248248933,59.275457562654,4.57966932814637e-08,1.34349007015666e-05
"ENSG00000161888","ENSG00000161888",2.64409616714474,2.30055888353751,57.4402225613034,4.58237709934724e-08,1.34349007015666e-05
"ENSG00000166794","ENSG00000166794",1.00848906673247,6.90304573135277,55.6499291311135,4.80487693231216e-08,1.3950470355417e-05
"ENSG00000211955","ENSG00000211955",3.29237167100312,6.21811491864895,76.3234798428566,4.94386467732294e-08,1.39805040329451e-05
"ENSG00000164045","ENSG00000164045",2.83322247909433,2.09263433943482,56.4975407267472,4.96127264512082e-08,1.39805040329451e-05
"ENSG00000174371","ENSG00000174371",2.88906290835527,2.57192111388477,60.203816216769,4.97813481947853e-08,1.39805040329451e-05
"ENSG00000035499","ENSG00000035499",2.93504926104351,2.49659960030558,59.9531103800761,5.00222013551286e-08,1.39805040329451e-05
"ENSG00000011426","ENSG00000011426",2.73771877733407,2.51135324938714,58.1340885222876,5.72927329970764e-08,1.58091771551755e-05
"ENSG00000211598","ENSG00000211598",3.12126669554178,7.97983410501975,74.4162628017213,5.76224815219572e-08,1.58091771551755e-05
"ENSG00000117650","ENSG00000117650",2.60178726647576,2.11307055445157,54.4702621519112,5.96823348066939e-08,1.62254565672198e-05
"ENSG00000157450","ENSG00000157450",-0.753040178012403,6.0158697594192,53.9549226494367,6.39413337156257e-08,1.704219591652e-05
"ENSG00000211659","ENSG00000211659",4.71495719965974,7.93991794804663,75.35168234141,6.42289166434247e-08,1.704219591652e-05
"ENSG00000132465","ENSG00000132465",3.75532774534869,8.98949617616717,74.5008358741345,6.43961925620052e-08,1.704219591652e-05
"ENSG00000138778","ENSG00000138778",1.85176177694732,3.03049145830318,53.7741578427561,6.5943598181926e-08,1.7298625470443e-05
"ENSG00000119333","ENSG00000119333",1.18740685295257,4.48462114918158,53.1102914525797,7.38950869543474e-08,1.92159354379979e-05
"ENSG00000211668","ENSG00000211668",3.60419645849321,6.1221107137433,72.6902953885898,7.69780239629393e-08,1.95558170928496e-05
"ENSG00000163808","ENSG00000163808",2.52889024933896,3.01602896280871,58.1426678237762,7.69973706192405e-08,1.95558170928496e-05
"ENSG00000164687","ENSG00000164687",1.40113812013848,3.27988265155427,52.8593494706652,7.71638995805468e-08,1.95558170928496e-05
"ENSG00000164104","ENSG00000164104",0.978664382694626,7.99767864395283,52.3435575514186,8.43807916405635e-08,2.12051056639584e-05
"ENSG00000071539","ENSG00000071539",3.1612478832273,3.0609798831268,61.3459381984734,8.57494496027436e-08,2.13403858714673e-05
"ENSG00000139734","ENSG00000139734",2.86412376895747,1.9446109794196,57.7355876039371,8.63463196939489e-08,2.13403858714673e-05
"ENSG00000204634","ENSG00000204634",-1.09656097933486,6.06281620562382,52.5731874411943,8.74620138011381e-08,2.14389469075659e-05
"ENSG00000241163","ENSG00000241163",-1.68529531793796,6.32230481945916,61.6272298639138,8.9852577200709e-08,2.18458643998959e-05
"ENSG00000251039","ENSG00000251039",2.96402402109594,1.90245815091196,53.0980792568253,9.13750071021191e-08,2.20368515112006e-05
"ENSG00000142731","ENSG00000142731",1.56290633221948,3.14299547925311,51.6428628089244,9.53692243852208e-08,2.28161332419202e-05
"ENSG00000135451","ENSG00000135451",3.41649323414593,2.60554479528766,59.1272713210103,9.72753398396622e-08,2.30874526817865e-05
"ENSG00000073111","ENSG00000073111",1.81288612597055,5.16056141797223,60.7089474807893,1.02533218864091e-07,2.41437473238634e-05
"ENSG00000196562","ENSG00000196562",-1.19334871476589,7.80585191974791,52.7163628235731,1.04383291617066e-07,2.43311020367124e-05
"ENSG00000106799","ENSG00000106799",-1.05578303228026,5.98942617408848,51.0990103402148,1.04956099740374e-07,2.43311020367124e-05
"ENSG00000154839","ENSG00000154839",2.9930004779233,2.49430440054892,55.8586117625435,1.12848519553035e-07,2.58737012953489e-05
"ENSG00000124575","ENSG00000124575",1.33961515821068,5.00794563252814,53.4442663456737,1.13340741337258e-07,2.58737012953489e-05
"ENSG00000137310","ENSG00000137310",1.02735308167466,4.83457700130281,50.4451489741736,1.17873433771189e-07,2.67045836130865e-05
"ENSG00000164109","ENSG00000164109",1.60161075640122,3.97027641528167,52.1668549950504,1.23859285267782e-07,2.78497137288198e-05
"ENSG00000166803","ENSG00000166803",3.09869548971874,2.03230244032396,52.73903899663,1.26551296712578e-07,2.82426606581317e-05
"ENSG00000134291","ENSG00000134291",0.783825701373358,5.50886885937694,49.9118076997292,1.29675092792076e-07,2.87254344440521e-05
"ENSG00000112742","ENSG00000112742",2.48350573221003,2.34947873494678,51.6243158260691,1.31393885787743e-07,2.8790797008172e-05
